1.0,
0.99467117,
0.99862660,
0.98174226,
0.97386760,
0.96482760,
0.95443410,
0.94249105,
0.92879730,
0.91315103,
0.89535499,
0.87522358,
0.85259068,
0.82731885,
0.79930973,
0.76851469,
0.73494524,
0.69868290,
0.65988702,
0.61879963,
0.57574666,
0.53113484,
0.48544332,
0.43921080,
0.39301825,
0.34746850,
0.30316412,
0.26068544,
0.22057019,
0.18329623,
0.14926878,
0.11881219,
0.092166908,
0.069474578,
0.050646842,
0.035441618,
0.023555880,
0.014637120,
0.082940198,
0.041067102,
0.016359100,
0.0043106001,
0.00036969999,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0,
0.0
